"","G","G","G","G","G","G"
"1",28273420,28273421,28273437,28273441,28273445,28273457
"2",28273420,28273421,28273437,28273441,28273445,28273458
"3",28273420,28273421,28273437,28273441,28273445,28273467
"4",28273421,28273427,28273428,28273437,28273445,28273457
"5",28273420,28273421,28273435,28273441,28273445,28273467
"6",28273420,28273421,28273427,28273457,28273458,28273467
"7",28273424,28273427,28273428,28273435,28273441,28273458
"8",28273424,28273427,28273428,28273435,28273446,28273447
"9",28273424,28273427,28273428,28273436,28273446,28273447
"10",28273415,28273432,28273436,28273446,28273447,28273461
"11",28273415,28273433,28273436,28273442,28273446,28273461
"12",28273415,28273424,28273442,28273448,28273461,28273465
"13",28273415,28273432,28273439,28273442,28273443,28273460
"14",28273415,28273432,28273439,28273443,28273448,28273460
"15",28273415,28273430,28273433,28273440,28273471,28273478
"16",28273415,28273430,28273433,28273444,28273468,28273478
"17",28273415,28273430,28273434,28273444,28273459,28273472
"18",28273418,28273429,28273431,28273434,28273453,28294089
"19",28273418,28273425,28273429,28273438,28273470,28273474
"20",28273418,28273425,28273426,28273454,28273455,28273477
