"","G","G","G","G","G","G"
"1",28434523,28434524,28434535,28434537,28434547,28434556
"2",28434523,28434524,28434535,28434540,28434547,28434556
"3",28434523,28434524,28434535,28434537,28434547,28434560
"4",28434523,28434524,28434535,28434540,28434547,28434553
"5",28434523,28434524,28434537,28434538,28434540,28434556
"6",28434523,28434524,28434537,28434538,28434540,28434560
"7",28434519,28434523,28434538,28434549,28434553,28434564
"8",28434517,28434523,28434545,28434549,28434553,28434578
"9",28434517,28434526,28434545,28434546,28434554,28434568
"10",28434517,28434526,28434545,28434546,28434554,28434569
"11",28434519,28434526,28434534,28434546,28434554,28434569
"12",28434517,28434526,28434536,28434550,28434566,28434567
"13",28434519,28434532,28434534,28434536,28434550,28434565
"14",28434519,28434532,28434534,28434536,28434543,28434575
"15",28434519,28434521,28434543,28434552,28434558,28434563
"16",28434519,28434522,28434532,28434570,28434571,28434580
"17",28434519,28434521,28434539,28434551,28434559,28434580
"18",28434519,28434521,28434542,28434551,28434555,28434561
"19",28434521,28434529,28434531,28434539,28434542,28434574
"20",28434520,28434521,28434531,28434562,28434577,28434579
